word,frequency,length
الانتخاب,2,8
الانتصارات,2,10
الانتقائي,2,9
الانتقاد,2,8
الانتماء,2,8
الانجرار,2,8
الانجراف,2,8
الاندبندنت,2,10
الاندثار,2,8
الانزلاق,2,8
الانسحاب,2,8
الانضباط,2,8
الانفعالات,2,10
الانقسام,2,8
الانقطاع,2,8
الانكماش,2,8
الانهيارات,2,10
الاهالي,2,7
الاوروبي,2,8
الاوضاع,2,7
الاوكرانية,2,10
البؤر,2,5
البائس,2,6
الباخرة,2,7
البارز,2,6
الباطلة,2,7
الباطنية,2,8
الباقي,2,6
الباكستانية,2,11
البترولية,2,9
البحرينية,2,9
البخاري,2,7
البخيتي,2,7
البدء,2,5
البدائل,2,7
البراق,2,6
البرج,2,5
البرودة,2,7
البريطانيين,2,11
البريميرليغ,2,11
البشعة,2,6
البطارية,2,8
البطن,2,5
البطولية,2,8
البعيدة,2,7
البغيضة,2,7
البكري,2,6
البلجيكية,2,9
البلدات,2,7
البنادق,2,7
البندقية,2,8
البني,2,5
البول,2,5
البيطريين,2,9
البيولوجيا,2,10
التأثيرات,2,9
التأجيل,2,7
التأشيرات,2,9
التأقلم,2,7
التأمينات,2,9
التأهب,2,6
التابعتين,2,9
التانغو,2,7
التايمز,2,7
التباحث,2,7
التبرع,2,6
التبريد,2,7
التبعية,2,7
التتبع,2,6
التثبيت,2,7
التجريبية,2,9
التجسيد,2,7
التجميع,2,7
التجميل,2,7
التجنيد,2,7
التجهيزات,2,9
التجول,2,6
التجويع,2,7
التحاضر,2,7
التحاور,2,7
التحذيرية,2,9
التحركات,2,8
التحري,2,6
التحسينات,2,9
التحفظ,2,6
التحكيمي,2,8
التحليلات,2,9
التحولات,2,8
التخدير,2,7
التخريبية,2,9
التخزين,2,7
التخصصات,2,8
التخصيب,2,7
التداعي,2,7
التدافع,2,7
التدبير,2,7
التدشين,2,7
التذاكر,2,7
التذكارية,2,9
التذكرة,2,7
الترابية,2,8
التراخيص,2,8
الترجيحية,2,9
الترشيح,2,7
الترشيحات,2,9
الترغيب,2,7
الترويجي,2,8
الترويجية,2,9
التزاما,2,7
التزامات,2,8
التزاماته,2,9
التزامهم,2,8
التزود,2,6
التساؤلات,2,9
التسعة,2,6
التسعينيات,2,10
التسلل,2,6
التسهيلات,2,9
التسويقي,2,8
التشابك,2,7
التشجير,2,7
التشخيصية,2,9
التشفير,2,7
التشكيل,2,7
التشكيلات,2,9
التشييع,2,7
التصاميم,2,8
التصحر,2,6
التصدير,2,7
التصفية,2,7
التصنيع,2,7
التضليل,2,7
التطاول,2,7
التطرق,2,6
التظلمات,2,8
التعاطي,2,7
التعاملات,2,9
التعجيل,2,7
التعددية,2,8
التعدي,2,6
التعذيب,2,7
التعزيز,2,7
التعطيل,2,7
التعهد,2,6
التغاضي,2,7
التغريدة,2,8
التغير,2,6
التفويض,2,7
التقاضي,2,7
التقاطع,2,7
التقاعدية,2,9
التقاليد,2,8
التقدمي,2,7
التقدمية,2,8
التقدير,2,7
التقرب,2,6
التقشف,2,6
التقلب,2,6
التكاتف,2,7
التكافؤ,2,7
التكتل,2,6
التكتيك,2,7
التكفل,2,6
التكهن,2,6
التلاميذ,2,8
التلفزيونية,2,11
التلقيح,2,7
التمتع,2,6
التمريض,2,7
التمرين,2,7
التموينية,2,9
التمييزي,2,8
التنازلي,2,8
التنسيقية,2,9
التنظيف,2,7
التنفيذيين,2,10
التهاني,2,7
التهدئة,2,7
التهم,2,5
التهيؤ,2,6
التوتة,2,6
التوثيق,2,7
التوجيه,2,7
التوجيهية,2,9
التوحيد,2,7
التوراة,2,7
التوراتي,2,8
التوزيع,2,7
التوسعات,2,8
التوسعية,2,8
التوصيلات,2,9
التوظيف,2,7
التوفير,2,7
التوقيف,2,7
التوليد,2,7
التونة,2,6
التونسيين,2,9
الثابتة,2,7
الثرى,2,5
الثلاثية,2,8
الثمامة,2,7
الثورات,2,7
الجابر,2,6
الجاثمة,2,7
الجانبية,2,8
الجبار,2,6
الجبين,2,6
الجد,2,4
الجدران,2,7
الجذب,2,5
الجراحي,2,7
الجراحين,2,8
الجريدة,2,7
الجزئي,2,6
الجزائريين,2,10
الجسدية,2,7
الجعبري,2,7
الجغرافي,2,8
الجلمة,2,6
الجمال,2,6
الجماهيرية,2,10
الجمهوريتين,2,11
الجمهوریة,2,9
الجمود,2,6
الجنائي,2,7
الجنائيين,2,9
الجنايات,2,8
الجنرالات,2,9
الجنيه,2,6
الجهادي,2,7
الجوائز,2,7
الجودة,2,6
الجوف,2,5
الجولات,2,7
الجينية,2,7
الحار,2,5
الحاسمة,2,7
الحاسوب,2,7
الحاصل,2,6
الحافلات,2,8
الحافلة,2,7
الحاليين,2,8
الحاويات,2,8
الحاوية,2,7
الحبر,2,5
الحبسة,2,6
الحجارة,2,7
الحجري,2,6
الحجز,2,5
الحداثة,2,7
الحدي,2,5
الحذر,2,5
الحراري,2,7
الحراسة,2,7
الحراك,2,6
الحربية,2,7
الحركتين,2,8
الحريديم,2,8
الحرير,2,6
الحزبي,2,6
الحزبين,2,7
الحزن,2,5
الحساسة,2,7
الحشود,2,6
الحشيش,2,6
الحفريات,2,8
الحقول,2,6
الحكامة,2,7
الحكاية,2,7
الحكمة,2,6
الحلوة,2,6
الحلوى,2,6
الحلويات,2,8
الحمام,2,6
الحمد,2,5
الحمولة,2,7
الحوارات,2,8
الحوافز,2,7
الحوامل,2,7
الحوسبة,2,7
الحوكمة,2,7
الحويك,2,6
الخارطة,2,7
الخاصين,2,7
الخالد,2,6
الخالية,2,7
الخبيثة,2,7
الختامي,2,7
الختامية,2,8
الخرف,2,5
الخروقات,2,8
الخريطة,2,7
الخزان,2,6
الخصاونة,2,8
الخصخصة,2,7
الخصم,2,5
الخضور,2,6
الخطي,2,5
الخفض,2,5
الخلط,2,5
الخليجيين,2,9
الخمر,2,5
الخميني,2,7
الخناق,2,6
الخواطر,2,7
الخوري,2,6
الخيال,2,6
الدائر,2,6
الدائري,2,7
الداخلة,2,7
الداعم,2,6
الدامون,2,7
الدجاج,2,6
الدخان,2,6
الدرة,2,5
الدردشة,2,7
الدروع,2,6
الدعاية,2,7
الدعوات,2,7
الدفء,2,5
الدفعة,2,6
الدفيئة,2,7
الدكان,2,6
الدكتوراه,2,9
الدلنجات,2,8
الدلو,2,5
الدمى,2,5
الدهشة,2,6
الدوريات,2,8
الدوسري,2,7
الدي,2,4
الدير,2,5
الديك,2,5
الديوانية,2,9
الديون,2,6
الذباب,2,6
الذرة,2,5
الذكريات,2,8
الذكي,2,5
الذل,2,4
الذوق,2,5
الرأسمالي,2,9
الرئيسة,2,7
الرئيسيين,2,9
الرازق,2,6
الراسخ,2,6
الراعي,2,6
الرافدين,2,8
الراقي,2,6
الراوي,2,6
الرايخ,2,6
الرباعية,2,8
الربورتاج,2,9
الرجلان,2,7
الرجلين,2,7
الرحال,2,6
الرحم,2,5
الرحمة,2,6
الرصاصة,2,7
الرصد,2,5
الرضع,2,5
الرعدية,2,7
الرفاعي,2,7
الرفاه,2,6
الرفاهية,2,8
الرفيعة,2,7
الرقة,2,5
الرقص,2,5
الرقي,2,5
الركب,2,5
الركبة,2,6
الرماية,2,7
الرهبان,2,7
الرهيبة,2,7
الروبوت,2,7
الروحية,2,7
الروم,2,5
الريدز,2,6
الريف,2,5
الزائدة,2,7
الزائر,2,6
الزائرين,2,8
الزاملي,2,7
الزاوية,2,7
الزبائنية,2,9
الزجاجية,2,8
الزعابي,2,7
الزعيمين,2,8
الزغبي,2,6
الزنك,2,5
الزهرة,2,6
الزوارق,2,7
الزوجة,2,6
الزي,2,4
الزيارات,2,8
السائقين,2,8
السائل,2,6
الساحلي,2,7
الساخن,2,6
السادات,2,7
السام,2,5
السباحين,2,8
السباق,2,6
السباقات,2,8
الستينات,2,8
السجاد,2,6
السحاب,2,6
السحر,2,5
السحوبات,2,8
السدود,2,6
السرد,2,5
السرطانات,2,9
السريرية,2,8
السعدني,2,7
السعرات,2,7
السعيدة,2,7
السفلى,2,6
السكة,2,5
السكرتير,2,8
السكن,2,5
السكنيـة,2,8
السلالة,2,7
السلالم,2,7
السلطنة,2,7
السلفية,2,7
السماعات,2,8
السمعي,2,6
السمكية,2,7
السناتور,2,8
السنوسي,2,7
السهل,2,5
السودانيين,2,10
السوفياتية,2,10
السوفييت,2,8
السوفييتي,2,9
السوقية,2,7
السولار,2,7
السويداء,2,8
السياج,2,6
السيادي,2,7
السياسيون,2,9
السياقة,2,7
السيبرانية,2,10
السيرة,2,6
السيل,2,5
السيمفونية,2,10
السيناريوهات,2,12
الشائعة,2,7
الشائكة,2,7
الشابات,2,7
الشابين,2,7
الشارقة,2,7
الشاغل,2,6
الشافعي,2,7
الشاقة,2,6
الشاهد,2,6
الشبكات,2,7
الشبه,2,5
الشتات,2,6
الشدة,2,5
الشرطيون,2,8
الشرع,2,5
الشريفين,2,8
الشريك,2,6
الشط,2,4
الشعاب,2,6
الشعبيتان,2,9
الشعبيتين,2,9
الشغف,2,5
الشفق,2,5
الشفوي,2,6
الشقيق,2,6
الشكوك,2,6
الشمسي,2,6
الشمع,2,5
الشمل,2,5
الشهرة,2,6
الشهية,2,6
الشهير,2,6
الشيرازي,2,8
الشيطان,2,7
الصائفة,2,7
الصارخة,2,7
الصحراوى,2,8
الصحفيون,2,8
الصحى,2,5
الصخرية,2,7
الصخور,2,6
الصداقات,2,8
الصدام,2,6
الصربي,2,6
الصعود,2,6
الصغر,2,5
الصفائح,2,7
الصفراء,2,7
الصفوف,2,6
الصلاحيات,2,9
الصلح,2,5
الصماد,2,6
الصواب,2,6
الصوديوم,2,8
الصوم,2,5
الصومالي,2,8
الصياد,2,6
الصيدلانية,2,10
الصيدليات,2,9
الصيدلية,2,8
الضابط,2,6
الضارة,2,6
الضالة,2,6
الضامنة,2,7
الضجة,2,5
الضخم,2,5
الضرورة,2,7
الضعف,2,5
الضلالة,2,7
الضوئي,2,6
الضيف,2,5
الطائرتين,2,9
الطائفة,2,7
الطائفية,2,8
الطارئة,2,7
الطاقم,2,6
الطالبة,2,7
الطبيين,2,7
الطراز,2,6
الطرد,2,5
الطغيان,2,7
الطفولة,2,7
الطفولي,2,7
الطفيفة,2,7
الطقوس,2,6
الطلق,2,5
الطمث,2,5
الطموحات,2,8
الطهي,2,5
الطوعي,2,6
الطيار,2,6
الطيب,2,5
الطيبة,2,6
الظفرة,2,6
الظلام,2,6
الظهيرة,2,7
الظواهر,2,7
العائدات,2,8
العائدة,2,7
العابدين,2,8
العاجلة,2,7
العادة,2,6
العارضة,2,7
العاطفية,2,8
العالقة,2,7
العامري,2,7
العباءة,2,7
العبادة,2,7
العبث,2,5
العبرة,2,6
العثرات,2,7
العثمانية,2,9
العد,2,4
العداء,2,6
العدة,2,5
العديدة,2,7
العربى,2,6
العرس,2,5
العرفي,2,6
العرقية,2,7
العريش,2,6
العريضة,2,7
العزي,2,5
العزيمة,2,7
العسكرى,2,7
العسكريون,2,9
العسيلي,2,7
العشوائي,2,8
العصرية,2,7
العضلات,2,7
العضوي,2,6
العطر,2,5
العطلات,2,7
العطلة,2,6
العظمية,2,7
العفيف,2,6
العقابية,2,8
العقار,2,6
العقاري,2,7
العقارية,2,8
العقبات,2,7
العقبة,2,6
العكسي,2,6
العلوي,2,6
العمارات,2,8
العمالة,2,7
العمالية,2,8
العماني,2,7
العمراني,2,8
العمرانية,2,9
العمري,2,6
العمق,2,5
العملاق,2,7
العمود,2,6
العمومي,2,7
العموميين,2,9
العميلة,2,7
العناء,2,6
العناوين,2,8
العنوان,2,7
العنيف,2,6
العهدة,2,6
العواطف,2,7
العينات,2,7
العينة,2,6
الغاء,2,5
الغائبة,2,7
الغائبين,2,8
الغارات,2,7
الغارق,2,6
الغازات,2,7
الغداء,2,6
الغزيرة,2,7
الغشاء,2,6
الغفران,2,7
الغلاف,2,6
الغموض,2,6
الغناء,2,6
الغواصات,2,8
الغواصون,2,8
الغوص,2,5
الفائزين,2,8
الفاسدون,2,8
الفاصل,2,6
الفاصلة,2,7
الفاعل,2,6
الفاعلين,2,8
الفاو,2,5
الفتن,2,5
الفتى,2,5
الفتيان,2,7
الفجوات,2,7
الفحشاء,2,7
الفحوصات,2,8
الفرج,2,5
الفرعي,2,6
الفريدة,2,7
الفريقان,2,8
الفضائح,2,7
الفضائي,2,7
الفضح,2,5
الفضل,2,5
الفقرات,2,7
الفقري,2,6
الفكر,2,5
الفلسفة,2,7
الفليحة,2,7
الفنيين,2,7
الفهري,2,6
الفوترة,2,7
الفولاذ,2,7
الفي,2,4
الفيروسات,2,9
الفيروسية,2,9
الفيزيائية,2,10
الفيسبوك,2,8
الفيول,2,6
الفيوم,2,6
القاء,2,5
القابل,2,6
القابلة,2,7
القادرين,2,8
القاذفة,2,7
القارب,2,6
القاري,2,6
القاصرين,2,8
القاطنون,2,8
القاعة,2,6
القبة,2,5
القبلي,2,6
القتالي,2,7
القدر,2,5
القدماء,2,7
القذرة,2,6
القرآني,2,7
القرآنية,2,8
القرش,2,5
القرود,2,6
القس,2,4
القسام,2,6
القسري,2,6
القسطنطينية,2,11
القصص,2,5
القصيدة,2,7
القصيرة,2,7
القصيم,2,6
القضبان,2,7
القضم,2,5
القضيتين,2,8
القطارات,2,8
القطرات,2,7
القطعة,2,6
القفز,2,5
القلعة,2,6
القمامة,2,7
القمص,2,5
القنابل,2,7
القنبلة,2,7
القنصلي,2,7
القوميون,2,8
القوميين,2,8
القياس,2,6
القيامة,2,7
الكائن,2,6
الكابلات,2,8
الكاثوليك,2,9
الكاذب,2,6
الكاريبي,2,8
الكافية,2,7
الكامنة,2,7
الكبد,2,5
الكترونية,2,9
الكتف,2,5
الكثيرة,2,7
الكثيف,2,6
الكذبة,2,6
الكرام,2,6
الكردي,2,6
الكروم,2,6
الكروي,2,6
الكروية,2,7
الكريمة,2,7
الكعبي,2,6
الكفاءات,2,8
الكفة,2,5
الكلاب,2,6
الكلاسيكي,2,9
الكلاسيكية,2,10
الكنائس,2,7
الكنفدرالية,2,11
الكوارث,2,7
الكوسى,2,6
الكوكايين,2,9
الكولومبي,2,9
الكوميدي,2,8
الكون,2,5
الكوني,2,6
الكياني,2,7
الكيلاني,2,8
الكيميائية,2,10
اللا,2,4
اللائي,2,6
اللاسلكي,2,8
اللحاق,2,6
اللحم,2,5
اللد,2,4
اللغز,2,5
اللغوي,2,6
اللقاءات,2,8
اللهم,2,5
اللواتي,2,7
اللوجستي,2,8
الليبرالية,2,10
الليلي,2,6
اللين,2,5
المأزق,2,6
المأساوية,2,9
المأكولات,2,9
المؤثر,2,6
المؤدي,2,6
المؤدية,2,7
المؤسس,2,6
المؤسسي,2,7
المؤلفين,2,8
المؤيد,2,6
المؤيدين,2,8
الماروني,2,8
المارين,2,7
المارينز,2,8
المازوت,2,7
الماليزية,2,9
الماوري,2,7
المباراتين,2,10
المباركة,2,8
المبدئية,2,8
المبرر,2,6
المبهجة,2,7
المبين,2,6
المتابعون,2,9
المتاجر,2,7
المتبادل,2,8
المتباينة,2,9
المتبقي,2,7
المتحالفة,2,9
المتحركة,2,8
المتحورة,2,8
المتداولة,2,9
المتراكمة,2,9
المتردي,2,7
المتردية,2,8
المتزوجين,2,9
المتشددة,2,8
المتصاعد,2,8
المتصلة,2,7
المتطلبات,2,9
المتقاعد,2,8
المتقاعدين,2,10
المتكامل,2,8
المتمردون,2,9
المتمولين,2,9
المتنامية,2,9
المتواجد,2,8
المتواصلة,2,9
المتوافرة,2,9
المتوفرة,2,8
المثارة,2,7
المثلث,2,6
المثلى,2,6
المثمر,2,6
المجاهد,2,7
المجاهدين,2,9
المجاور,2,7
المجتمعي,2,8
المجد,2,5
المجر,2,5
المجرات,2,7
المجرم,2,6
المجري,2,6
المجلسين,2,8
المجوهرات,2,9
المجيدة,2,7
المحاذية,2,8
المحبة,2,6
المحترف,2,7
المحتفلين,2,9
المحتلين,2,8
المحتوى,2,7
المحتويات,2,9
المحدد,2,6
المحدود,2,7
المحررة,2,7
المحفوظات,2,9
المحلات,2,7
المحور,2,6
المحوري,2,7
المحيطين,2,8
المخالفين,2,9
المختطفين,2,9
المخدرة,2,7
المخصب,2,6
المخصصات,2,8
المخططات,2,8
المخلوي,2,7
المخيمات,2,8
المداهمة,2,8
المدرج,2,6
المدرجات,2,8
المدرك,2,6
المدعومة,2,8
المدعومين,2,9
المدفعية,2,8
المدمر,2,6
المدونة,2,7
المديرين,2,8
المذكورين,2,9
المرئية,2,7
المراجعات,2,9
المراجعة,2,8
المراسيم,2,8
المراهق,2,7
المرتكب,2,7
المرتكبة,2,8
المرجانية,2,9
المرجعي,2,7
المرجوة,2,7
المرحاض,2,7
المرخصة,2,7
المردة,2,6
المرشد,2,6
المرصودة,2,8
المرضي,2,6
المرضية,2,7
المرغوب,2,7
المرفق,2,6
المرفوعة,2,8
المركب,2,6
المرمى,2,6
المروري,2,7
المروعة,2,7
المريخ,2,6
المزارع,2,7
المزايا,2,7
المزدهرة,2,8
المزدوج,2,7
المزرعة,2,7
المزروعة,2,8
المزمن,2,6
المزمنة,2,7
المزيفة,2,7
المسابقات,2,9
المساجد,2,7
المسارح,2,7
المسال,2,6
المساومة,2,8
المسبب,2,6
المسبوق,2,7
المستثمرون,2,10
المستجدات,2,9
المستحقات,2,9
المستزرعة,2,9
المستشارين,2,10
المستعمر,2,8
المستفيدين,2,10
المستكبرين,2,10
المستلزمات,2,10
المستمدة,2,8
المستند,2,7
المستهدف,2,8
المستهدفة,2,9
المستورد,2,8
المستوطنة,2,9
المستوطنون,2,10
المسجل,2,6
المسدس,2,6
المسرحيات,2,9
المسرحين,2,8
المسروقات,2,9
المسعفين,2,8
المسلح,2,6
المسلحين,2,8
المسماة,2,7
المسن,2,5
المسودة,2,7
المسيحي,2,7
المشابهة,2,8
المشار,2,6
المشاهدات,2,9
المشاهير,2,8
المشايخ,2,7
المشترين,2,8
المشددة,2,7
المشرف,2,6
المشرفة,2,7
المشرفين,2,8
المشرق,2,6
المشروعات,2,9
المشروعية,2,9
المشعة,2,6
المشغلين,2,8
المصابة,2,7
المصاحب,2,7
المصادرة,2,8
المصادقة,2,8
المصانع,2,7
المصدرين,2,8
المصطفى,2,7
المصعد,2,6
المصورين,2,8
المضادات,2,8
المضاربة,2,8
المضربين,2,8
المطابخ,2,7
المطاردة,2,8
المطاعم,2,7
المطالبة,2,8
المطالبين,2,9
المطر,2,5
المطلة,2,6
المطلق,2,6
المطلقة,2,7
المعارضين,2,9
المعارف,2,7
المعاصرة,2,8
المعاملة,2,8
المعاهد,2,7
المعاهدة,2,8
المعتاد,2,7
المعترك,2,7
المعتمدين,2,9
المعدة,2,6
المعدية,2,7
المعرفي,2,7
المعرفية,2,8
المعززة,2,7
المعزولة,2,8
المعسكر,2,7
المعظم,2,6
المعقب,2,6
المعقول,2,7
المعلق,2,6
المعلن,2,6
المعلومة,2,8
المعمارية,2,9
المعمل,2,6
المعنوية,2,8
المعنيون,2,8
المعونة,2,7
المعيشة,2,7
المعين,2,6
المغاربية,2,9
المغترب,2,7
المغلوطة,2,8
المفاجأة,2,8
المفاجئة,2,8
المفارقة,2,8
المفاعل,2,7
المفتش,2,6
المفتوحة,2,8
المفتي,2,6
المفرط,2,6
المفرطة,2,7
المفروض,2,7
المفضل,2,6
المفعول,2,7
المفهوم,2,7
المقاتل,2,7
المقاربة,2,8
المقاطعات,2,9
المقالات,2,8
المقاومين,2,9
المقبولين,2,9
المقدسي,2,7
المقدم,2,6
المقرب,2,6
المقربة,2,7
المقرض,2,6
المقومات,2,8
المقيم,2,6
المكاسب,2,7
المكامير,2,8
المكانة,2,7
المكبر,2,6
المكسرات,2,8
المكملات,2,8
الملا,2,5
الملائمة,2,8
الملاجئ,2,7
الملازم,2,7
الملتقي,2,7
الملحوظ,2,7
الملحون,2,7
الملزمة,2,7
الملقب,2,6
الملموس,2,7
الملموسة,2,8
الملوثة,2,7
الملياردير,2,10
الممانعة,2,8
الممتلكات,2,9
الممر,2,5
الممرات,2,7
الممنهجة,2,8
الممولة,2,7
المنار,2,6
المنازعات,2,9
المناطة,2,7
المناعي,2,7
المنافقة,2,8
المنال,2,6
المنامة,2,7
المناهج,2,7
المناهضين,2,9
المنتخبات,2,9
المنتصر,2,7
المنتظم,2,7
المنتظمة,2,8
المنجم,2,6
المنحة,2,6
المنخفض,2,7
المنشورة,2,8
المنضوية,2,8
المنطق,2,6
المنطلقات,2,9
المنظر,2,6
المنظمون,2,8
المنع,2,5
المنعقد,2,7
المنعقدة,2,8
المنهاج,2,7
المنهارة,2,8
المنية,2,6
المهاجرون,2,9
المهاجمين,2,9
المهددة,2,7
المهلة,2,6
المهنة,2,6
المهندسين,2,9
المهيمن,2,7
المواصلات,2,9
المواطنون,2,9
الموثقة,2,7
الموجات,2,7
الموجبة,2,7
الموحد,2,6
المودع,2,6
الموسعة,2,7
الموسيقات,2,9
الموسيقية,2,9
الموصى,2,6
الموظف,2,6
الموعد,2,6
الموعود,2,7
الموقعين,2,8
المولدات,2,8
المولود,2,7
الميثاق,2,7
الميدالية,2,9
الميدان,2,7
الميزان,2,7
النائبة,2,7
النابلسي,2,8
الناخب,2,6
النادرة,2,7
الناديين,2,8
النازحة,2,7
النازيين,2,8
الناسفة,2,7
الناشئين,2,8
الناشطة,2,7
الناصر,2,6
الناصرية,2,8
النافذة,2,7
الناقل,2,6
الناقلات,2,8
النامية,2,7
النبوية,2,7
النجاحات,2,8
النجدة,2,6
النحاسية,2,8
النحت,2,5
النخب,2,5
النرويج,2,7
النزاعات,2,8
النزول,2,6
النسبية,2,7
النسخ,2,5
النسوة,2,6
النسور,2,6
النسيج,2,6
النشا,2,5
النشر,2,5
النشوز,2,6
النصاب,2,6
النصب,2,5
النصفي,2,6
النصفية,2,7
النصية,2,6
النضال,2,6
النضالي,2,7
النضالية,2,8
النظامين,2,8
النظم,2,5
النقالة,2,7
النقطة,2,6
النمر,2,5
النمساوية,2,9
النهائيات,2,9
النهرين,2,7
النواحي,2,7
النواقص,2,7
النوايا,2,7
النيجيرية,2,9
الهاتفية,2,8
الهادىء,2,7
الهام,2,5
الهبات,2,6
الهبة,2,5
الهجن,2,5
الهذالين,2,8
الهزيمة,2,7
الهلع,2,5
الهندسية,2,8
الهندوس,2,7
الهوائي,2,7
الهواة,2,6
الهول,2,5
الهولندي,2,8
الهيروين,2,8
الوافد,2,6
الواقعي,2,7
الوالد,2,6
الوالدين,2,8
الوجبات,2,7
الوجع,2,5
الوجهة,2,6
الوجوه,2,6
الوحشية,2,7
الودائع,2,7
الورد,2,5
الورقة,2,6
الورم,2,5
الوريث,2,6
الوزارية,2,8
الوسطاء,2,7
الوصاية,2,7
الوصفات,2,7
الوطنيين,2,8
الوعرة,2,6
الوعود,2,6
الوفدين,2,7
الوفود,2,6
الوقفات,2,7
الوكالات,2,8
الوكلاء,2,7
الوهمية,2,7
الويب,2,5
الي,2,3
اليأس,2,5
اليدوية,2,7
اليكم,2,5
اليماني,2,7
اليمنى,2,6
اليمينية,2,8
اليورانيوم,2,10
اليوروبول,2,9
اليونسكو,2,8
اليونيفيل,2,9
امتحانات,2,8
امتد,2,4
امتنانه,2,7
امتنع,2,5
امتنعت,2,6
امتيازات,2,8
امير,2,4
انا,2,3
انتاجية,2,7
انتباه,2,6
انتخابه,2,7
انتخب,2,5
انتخبت,2,6
انتخبوا,2,7
انتظارا,2,7
انتظارها,2,8
انتعاش,2,6
انتفاضة,2,7
انتقامية,2,8
انتهك,2,5
انحراف,2,6
انحرفت,2,6
انخفاضه,2,7
انستغرام,2,8
انسداد,2,6
انشغال,2,6
انشغالات,2,8
انظر,2,4
انعدام,2,6
انعكاس,2,6
انعكس,2,5
انعكست,2,6
انفجارا,2,7
انفجارات,2,8
انفجارين,2,8
انقسام,2,6
انقضاء,2,6
انقلابا,2,7
انكشفت,2,6
انهار,2,5
انهارت,2,6
اهتمامه,2,7
اهداف,2,5
اهم,2,3
اوضح,2,4
اولا,2,4
اين,2,3
ايناس,2,5
بآلة,2,4
بأربعة,2,6
بأزمات,2,6
بأسلحة,2,6
بأسلوب,2,6
بأسماء,2,6
بأشجار,2,6
بأشد,2,4
بأصواتهم,2,8
بأطباق,2,6
بأعياد,2,6
بأغلبية,2,7
بأفعال,2,6
بأقصى,2,5
بأكاديمية,2,9
بأمراض,2,6
بأمن,2,4
بأمور,2,5
بأنك,2,4
بؤر,2,3
بؤرة,2,4
بإبعاد,2,6
بإبعاده,2,7
بإبلاغ,2,6
بإخلاء,2,6
بإدانة,2,6
بإدراج,2,6
بإذن,2,4
بإسناد,2,6
بإشراف,2,6
بإصابة,2,6
بإصابته,2,7
بإغلاق,2,6
بإلحاق,2,6
بإمكان,2,6
بإمكانه,2,7
بإمكانها,2,8
بإمكاني,2,7
بإمكانية,2,8
بإنجاز,2,6
بإيعاز,2,6
باتباع,2,6
باتريك,2,6
باجتماع,2,7
باحثو,2,5
باحثون,2,6
باختراق,2,7
باختيار,2,7
بادرت,2,5
بارد,2,4
باردا,2,5
باردة,2,5
بارزة,2,5
باستخراج,2,8
باستغلال,2,8
باشا,2,4
باشر,2,4
باشيليت,2,7
باطل,2,4
باع,2,3
باعتماد,2,7
باعمال,2,6
باغتيال,2,7
بافل,2,4
باقتحام,2,7
بالآثار,2,7
بالأراضي,2,8
بالأرض,2,6
بالأرقام,2,8
بالأسى,2,6
بالأمانة,2,8
بالأيام,2,7
بالإجماع,2,8
بالإصابة,2,8
بالإعدام,2,8
بالإفراج,2,8
بالإمكان,2,8
بالإيمان,2,8
بالاتفاقيات,2,11
بالاختناق,2,9
بالاستقلال,2,10
بالاستمرار,2,10
بالاستيلاء,2,10
بالامتناع,2,9
بالانسحاب,2,9
بالبحث,2,6
بالبرلمان,2,9
بالبطريرك,2,9
بالبطولة,2,8
بالبعد,2,6
بالبنية,2,7
بالتاريخ,2,8
بالتجارة,2,8
بالتصدي,2,7
بالتصويت,2,8
بالتغير,2,7
بالتفصيل,2,8
بالتقرير,2,8
بالتنمية,2,8
بالتوجه,2,7
بالتورط,2,7
بالجزائر,2,8
بالجهود,2,7
بالجيش,2,6
بالحجر,2,6
بالحرس,2,6
بالحرية,2,7
بالحصول,2,7
بالحكم,2,6
بالحلول,2,7
بالخدمات,2,8
بالخروج,2,7
بالخط,2,5
بالدعم,2,6
بالدهون,2,7
بالذاكرة,2,8
بالذكرى,2,7
بالرباط,2,7
بالرد,2,5
بالرعب,2,6
بالركض,2,6
بالروح,2,6
بالرياض,2,7
بالستيين,2,8
بالسجناء,2,8
بالسرعة,2,7
بالسكر,2,6
بالسكك,2,6
بالسماح,2,7
بالسنوات,2,8
بالسودان,2,8
بالسويداء,2,9
بالسيطرة,2,8
بالشؤون,2,7
بالشباب,2,7
بالشبع,2,6
بالشركة,2,7
بالشفاء,2,7
بالشقة,2,6
بالصحة,2,6
بالصدمة,2,7
بالصراع,2,7
بالصومعة,2,8
بالضغط,2,6
بالعام,2,6
بالعدوى,2,7
بالعديد,2,7
بالعلم,2,6
بالعملات,2,8
بالعواصف,2,8
بالغة,2,5
بالغزو,2,6
بالفن,2,5
بالقلق,2,6
بالقوات,2,7
بالقوافل,2,8
بالكاد,2,6
بالكذب,2,6
باللجنة,2,7
باللغتين,2,8
باللوم,2,6
باللون,2,6
بالماء,2,6
بالمتحور,2,8
بالمتفجرات,2,10
بالمدينة,2,8
بالمرتبة,2,8
بالمركز,2,7
بالمساس,2,7
بالمعنى,2,7
بالمقابل,2,8
بالمكان,2,7
بالمناخ,2,7
بالمناطق,2,8
بالمنافسة,2,9
بالموت,2,6
بالمياه,2,7
بالنباتات,2,9
بالنتيجة,2,8
بالنشاطات,2,9
بالهجوم,2,7
بالهوية,2,7
بالوباء,2,7
بالورقة,2,7
بالوسائل,2,8
